Yval[N] for N=5


X		Analytical,y(x)	  Euler,Yn	MidPoint,Yn	  RK2,Yn	 RK4,Yn

0.000000	   1.00000	   1.00000	   1.00000	   1.00000	   1.00000
1.000000	   3.71800	   2.00000	   2.00000	   3.00000	   3.68750
2.000000	  11.38752	   5.00000	   7.00000	   8.50000	  11.25781
3.000000	  29.07929	  10.00000	  16.00000	  19.75000	  28.63574
4.000000	  70.57551	  17.00000	  33.00000	  42.37500	  69.15930
5.000000	 173.33624	  26.00000	  66.00000	  90.43750	 168.95227


Yval[N] for N=10


X		Analytical,y(x)	  Euler,Yn	MidPoint,Yn	  RK2,Yn	 RK4,Yn

0.000000	   1.00000	   1.00000	   1.00000	   1.00000	   1.00000
0.500000	   1.89864	   1.50000	   1.50000	   1.81250	   1.89779
1.000000	   3.71800	   2.62500	   3.25000	   3.47656	   3.71562
1.500000	   6.73099	   4.43750	   5.75000	   6.21191	   6.72588
2.000000	  11.38752	   7.03125	   9.75000	  10.37561	  11.37756
2.500000	  18.42934	  10.54688	  15.50000	  16.54787	  18.41080
3.000000	  29.07929	  15.19531	  24.00000	  25.67153	  29.04566
3.500000	  45.35344	  21.29297	  36.50000	  39.27874	  45.29337
4.000000	  70.57551	  29.31445	  55.25000	  59.85920	  70.46927
4.500000	 110.22514	  39.97168	  83.75000	  91.45870	 110.03853
5.000000	 173.33624	  54.33252	 127.75000	 140.65164	 173.01013


Yval[N] for N=20


X		Analytical,y(x)	  Euler,Yn	MidPoint,Yn	  RK2,Yn	 RK4,Yn

0.000000	   1.00000	   1.00000	   1.00000	   1.00000	   1.00000
0.250000	   1.34649	   1.25000	   1.25000	   1.33594	   1.34650
0.500000	   1.89864	   1.67188	   1.84375	   1.87378	   1.89865
0.750000	   2.67934	   2.27734	   2.54688	   2.63515	   2.67938
1.000000	   3.71800	   3.08105	   3.58594	   3.64778	   3.71809
1.250000	   5.05239	   4.10132	   4.83984	   4.94715	   5.05255
1.500000	   6.73099	   5.36102	   6.47461	   6.57877	   6.73126
1.750000	   8.81606	   6.88878	   8.45215	   8.60093	   8.81649
2.000000	  11.38752	   8.72035	  10.91943	  11.08830	  11.38821
2.250000	  14.54802	  10.90044	  13.91187	  14.13657	  14.54906
2.500000	  18.42934	  13.48492	  17.59412	  17.86834	  18.43089
2.750000	  23.20067	  16.54365	  22.08392	  22.44068	  23.20294
3.000000	  29.07929	  20.16394	  27.60483	  28.05486	  29.08257
3.250000	  36.34415	  24.45492	  34.38634	  34.96872	  36.34884
3.500000	  45.35344	  29.55303	  42.76675	  43.51266	  45.36008
3.750000	  56.56705	  35.62878	  53.14471	  54.10997	  56.57638
4.000000	  70.57551	  42.89536	  66.05785	  67.30301	  70.58852
4.250000	  88.13702	  51.61919	  82.17364	  83.78667	  88.15506
4.500000	 110.22514	  62.13337	 102.36342	 104.45128	 110.25002
4.750000	 138.08987	  74.85421	 127.73035	 130.43758	 138.12402
5.000000	 173.33624	  90.30214	 159.69734	 163.20712	 173.38293


