Values of Yn and Zn for RK4 method for N=5

X		Analytical,Y(x)	  Yn (RK4)	Analytical,Z(x)	  Zn (RK4)

1.000000	   1.00000	   1.00000	   1.00000	   1.00000
1.800000	   3.24000	   3.34072	   1.80000	   1.79606
2.600000	   6.76000	   6.84513	   2.60000	   2.60502
3.400000	  11.56000	  11.63658	   3.40000	   3.40746
4.200000	  17.64000	  17.71528	   4.20000	   4.20794
5.000000	  25.00000	  25.07714	   5.00000	   5.00787


Values of Yn and Zn for RK4 method for N=10

X		Analytical,Y(x)	  Yn (RK4)	Analytical,Z(x)	  Zn (RK4)

1.000000	   1.00000	   1.00000	   1.00000	   1.00000
1.400000	   1.96000	   1.96414	   1.40000	   1.39938
1.800000	   3.24000	   3.24396	   1.80000	   1.79976
2.200000	   4.84000	   4.84348	   2.20000	   2.20000
2.600000	   6.76000	   6.76314	   2.60000	   2.60012
3.000000	   9.00000	   9.00292	   3.00000	   3.00019
3.400000	  11.56000	  11.56279	   3.40000	   3.40022
3.800000	  14.44000	  14.44273	   3.80000	   3.80024
4.200000	  17.64000	  17.64271	   4.20000	   4.20025
4.600000	  21.16000	  21.16271	   4.60000	   4.60026
5.000000	  25.00001	  25.00274	   5.00000	   5.00026


Values of Yn and Zn for RK4 method for N=20

X		Analytical,Y(x)	  Yn (RK4)	Analytical,Z(x)	  Zn (RK4)

1.000000	   1.00000	   1.00000	   1.00000	   1.00000
1.200000	   1.44000	   1.44016	   1.20000	   1.19996
1.400000	   1.96000	   1.96020	   1.40000	   1.39997
1.600000	   2.56000	   2.56020	   1.60000	   1.59998
1.800000	   3.24000	   3.24019	   1.80000	   1.79998
2.000000	   4.00000	   4.00018	   2.00000	   1.99999
2.200000	   4.84000	   4.84017	   2.20000	   2.20000
2.400000	   5.76000	   5.76016	   2.40000	   2.40000
2.600000	   6.76000	   6.76015	   2.60000	   2.60000
2.800000	   7.84000	   7.84015	   2.80000	   2.80000
3.000000	   9.00000	   9.00014	   3.00000	   3.00001
3.200001	  10.24000	  10.24014	   3.20000	   3.20001
3.400001	  11.56000	  11.56013	   3.40000	   3.40001
3.600001	  12.96000	  12.96013	   3.60000	   3.60001
3.800001	  14.44001	  14.44013	   3.80000	   3.80001
4.000000	  16.00000	  16.00013	   4.00000	   4.00001
4.200000	  17.64000	  17.64013	   4.20000	   4.20001
4.400000	  19.36000	  19.36013	   4.40000	   4.40001
4.600000	  21.16000	  21.16013	   4.60000	   4.60001
4.800000	  23.04000	  23.04012	   4.80000	   4.80001
5.000000	  25.00000	  25.00013	   5.00000	   5.00001


