Values of Yn and Y'n for RK4 method for N=5

X		Analytical,Y(x)	  Yn (RK4)	Analytical,Y'(x)	  Y'n (RK4)

0.000000	4.00000000	4.00000000	-3.14159989		-3.14159989
0.628320	2.87939620	2.88090134	-0.42885569		-0.43089771
1.256640	3.21559668	3.21177387	1.14521718		1.14079654
1.884960	3.77222538	3.76002121	0.17439869		0.17339629
2.513280	2.96715903	2.95175624	-2.97048521		-2.96133780
3.141600	-0.00004549	-0.00696969	-6.28320694		-6.26330566


Values of Yn and Y'n for RK4 method for N=10

X		Analytical,Y(x)	  Yn (RK4)	Analytical,Y'(x)	  Y'n (RK4)

0.000000	4.00000000	4.00000000	-3.14159989		-3.14159989
0.314160	3.22254562	3.22260928	-1.78246927		-1.78253019
0.628320	2.87939620	2.87941217	-0.42885569		-0.42900550
0.942480	2.92140555	2.92126679	0.62436008		0.62415028
1.256640	3.21559668	3.21523023	1.14521718		1.14502549
1.570800	3.57079268	3.57018256	0.99999434		0.99992919
1.884960	3.77222538	3.77142429	0.17439869		0.17457134
2.199120	3.62017918	3.61930561	-1.22224545		-1.22174954
2.513280	2.96715903	2.96638179	-2.97048521		-2.96963716
2.827440	1.74822342	1.74773359	-4.77032518		-4.76916885
3.141600	-0.00004399	-0.00006902	-6.28320599		-6.28186369


Values of Yn and Y'n for RK4 method for N=20

X		Analytical,Y(x)	  Yn (RK4)	Analytical,Y'(x)	  Y'n (RK4)

0.000000	4.00000000	4.00000000	-3.14159989		-3.14159989
0.157080	3.55763936	3.55764151	-2.48104858		-2.48105025
0.314160	3.22254562	3.22254848	-1.78246927		-1.78247356
0.471240	2.99756932	2.99757099	-1.08556008		-1.08556700
0.628320	2.87939620	2.87939501	-0.42885569		-0.42886496
0.785400	2.85884833	2.85884237	0.15174739		0.15173644
0.942480	2.92140555	2.92139387	0.62436008		0.62434864
1.099560	3.04793596	3.04791713	0.96232021		0.96230948
1.256640	3.21559668	3.21557069	1.14521718		1.14520895
1.413720	3.39888525	3.39885211	1.15969431		1.15969038
1.570800	3.57079244	3.57075262	0.99999452		0.99999636
1.727880	3.70402098	3.70397544	0.66823471		0.66824406
1.884960	3.77222538	3.77217627	0.17439948		0.17441756
2.042040	3.75123072	3.75117993	-0.46395031		-0.46392262
2.199120	3.62017989	3.62012935	-1.22224295		-1.22220480
2.356200	3.36257291	3.36252546	-2.06971812		-2.06966925
2.513279	2.96716046	2.96711922	-2.97048235		-2.97042370
2.670359	2.42865419	2.42862177	-3.88476348		-3.88469625
2.827439	1.74822581	1.74820495	-4.77032280		-4.77024841
2.984519	0.93377620	0.93376917	-5.58398056		-5.58390045
3.141599	-0.00004100	-0.00003195	-6.28320360		-6.28312206


